Date,Adj Close
01/10/2014,65.481522
01/11/2014,64.485168
01/12/2014,67.236145
01/01/2015,70.133545
01/02/2015,63.220005
01/03/2015,62.384628
01/04/2015,63.026497
01/05/2015,61.531467
01/06/2015,57.983704
01/07/2015,60.939537
01/08/2015,58.221821
01/09/2015,59.72192
01/10/2015,59.331749
01/11/2015,56.251835
01/12/2015,60.737286
01/01/2016,64.06385
01/02/2016,63.196037
01/03/2016,69.366074
01/04/2016,67.732521
01/05/2016,67.259666
01/06/2016,74.53286
01/07/2016,74.359085
01/08/2016,69.207207
01/09/2016,70.246208
01/10/2016,70.228638
01/11/2016,64.743401
01/12/2016,68.898132
01/01/2017,69.714752
01/02/2017,73.27417
01/03/2017,73.601227
01/04/2017,74.04097
01/05/2017,76.894905
01/06/2017,75.798889
01/07/2017,77.186295
01/08/2017,79.163116
01/09/2017,76.885666
01/10/2017,80.907692
01/11/2017,81.704758
01/12/2017,77.824417
01/01/2018,72.633652
01/02/2018,69.709801
01/03/2018,72.535919
01/04/2018,75.054596
01/05/2018,72.245659
01/06/2018,74.92038
01/07/2018,77.326775
01/08/2018,76.966751
01/09/2018,76.679733
01/10/2018,79.180794
01/11/2018,84.872841
01/12/2018,83.59478
01/01/2019,85.028381
01/02/2019,86.849457
01/03/2019,88.090767
01/04/2019,89.187012
01/05/2019,83.7939
01/06/2019,87.301064
01/07/2019,85.797241
01/08/2019,91.753181
01/09/2019,93.900002
13/09/2019,93.900002
