Date,Adj Close
01/10/2014,2018.050049
01/11/2014,2067.560059
01/12/2014,2058.899902
01/01/2015,1994.98999
01/02/2015,2104.5
01/03/2015,2067.889893
01/04/2015,2085.51001
01/05/2015,2107.389893
01/06/2015,2063.110107
01/07/2015,2103.840088
01/08/2015,1972.180054
01/09/2015,1920.030029
01/10/2015,2079.360107
01/11/2015,2080.409912
01/12/2015,2043.939941
01/01/2016,1940.23999
01/02/2016,1932.22998
01/03/2016,2059.73999
01/04/2016,2065.300049
01/05/2016,2096.949951
01/06/2016,2098.860107
01/07/2016,2173.600098
01/08/2016,2170.949951
01/09/2016,2168.27002
01/10/2016,2126.149902
01/11/2016,2198.810059
01/12/2016,2238.830078
01/01/2017,2278.870117
01/02/2017,2363.639893
01/03/2017,2362.719971
01/04/2017,2384.199951
01/05/2017,2411.800049
01/06/2017,2423.409912
01/07/2017,2470.300049
01/08/2017,2471.649902
01/09/2017,2519.360107
01/10/2017,2575.26001
01/11/2017,2584.840088
01/12/2017,2673.610107
01/01/2018,2823.810059
01/02/2018,2713.830078
01/03/2018,2640.870117
01/04/2018,2648.050049
01/05/2018,2705.27002
01/06/2018,2718.370117
01/07/2018,2816.290039
01/08/2018,2901.52002
01/09/2018,2913.97998
01/10/2018,2711.73999
01/11/2018,2760.169922
01/12/2018,2506.850098
01/01/2019,2704.100098
01/02/2019,2784.48999
01/03/2019,2834.399902
01/04/2019,2945.830078
01/05/2019,2752.060059
01/06/2019,2941.76001
01/07/2019,2980.379883
01/08/2019,2926.459961
01/09/2019,3007.389893
13/09/2019,3007.389893
