Date,ABOT,ACPL,ADMM,AGIL,AGTL
17/04/2015,-0.00119928,-0.00119928,0.005816853,0,0.049
20/04/2015,-0.004290768,0.00120072,-0.030136559,0.003405787,0.0486
21/04/2015,0.003706853,0,0.034584607,-0.012125882,-0.0077
22/04/2015,0.025007572,0.024802591,-0.04724739,0.026033092,0.0214
23/04/2015,-0.005186503,-0.017642516,-0.004888015,0,-0.0175
24/04/2015,-0.022737516,-0.002995504,0.025520204,0.026648897,-0.0042
27/04/2015,-0.005683786,0.008435379,-0.014198241,0.050010328,-0.0148
28/04/2015,0.00120072,-0.013705217,-0.012027089,0.050115334,-0.0118
29/04/2015,0.015823893,0.003004505,0.004912025,-0.028292067,-0.0132
30/04/2015,0.010454268,-0.00119928,0.007225982,-0.006081433,0.0092
05/04/2015,0.034584607,0.019283572,-0.005982036,-0.006677605,0.0079
05/05/2015,0.037278027,0.017755793,-0.010939721,-0.009851156,0.0157
05/06/2015,0.048436493,0,-0.004888015,0,0.0489
05/07/2015,-0.022737516,0.012173501,0.030763717,-0.008067283,0.0202
05/08/2015,-0.007968085,-0.023030651,-0.011928287,0.005615709,0.0054
05/11/2015,0.001100605,-0.011730653,0,-0.028000511,-0.0175
05/12/2015,0.019793341,-0.022639785,0,0.023061907,0.0487
13/05/2015,0.00140098,-0.00119928,-0.035070271,0.013084867,-0.0316
14/05/2015,-0.002895799,0.00120072,-0.016266252,0,-0.0076
15/05/2015,-0.003394227,-0.048770575,0.039458599,0,-0.0088
18/05/2015,0,-0.002596623,-0.01587268,-0.029651506,-0.0114
19/05/2015,0.01643357,-0.005783212,-0.01488806,0.012072289,-0.0101
20/05/2015,0,-0.012915865,0,0.00692386,0.0045
21/05/2015,0.002302647,0,0.011364086,0,-0.0185
22/05/2015,-0.002297357,0,0,0.028704249,-0.0258
25/05/2015,0,0.024187894,-0.00119928,-0.010939721,0.0139
26/05/2015,-0.007968085,0.010252197,0,-0.002496878,-0.0112
27/05/2015,-0.004987521,0.005716276,0.003706853,0.011060722,0.0177
28/05/2015,-0.009851156,0,0.016230303,0.004912025,-0.0046
29/05/2015,-0.00039992,-0.020095342,-0.018428088,-0.010247137,0.0472
06/01/2015,0.001300845,0.014808576,0.005012521,0.002402882,0.0331
06/02/2015,0.005816853,0.002503128,0.009949167,-0.0030952,0.0141
06/03/2015,0,-0.006975557,-0.00618082,-0.011631821,0.0404
06/04/2015,0.009949167,0.010151177,-0.003693163,0,-0.002
06/05/2015,-0.016757996,-0.005683786,0.003706853,-0.00119928,0.0157
06/08/2015,0.021426316,0.04738858,-0.00119928,0.013591536,0.0248
06/09/2015,-0.025275098,-0.010247137,-0.003693163,-0.014099656,-0.0016
06/10/2015,0.027573297,-0.009157809,-0.004987521,-0.001898196,-0.0226
06/11/2015,0.008536228,-0.007372687,-0.039978885,0.003706853,0.0235
06/12/2015,-0.005584349,0.011768713,0.026033092,0.012375956,0.0485
15/06/2015,-0.002297357,0.002402882,0.001300845,0.034274278,0.0489
16/06/2015,0,-0.015282026,-0.005087017,0.003506132,0.0489
17/06/2015,0.00020002,-0.019899342,-0.003792789,-0.024202311,-0.0223
18/06/2015,0.013997054,0.007628953,-0.006379564,-0.001798381,0.0031
19/06/2015,-0.01084081,0.001300845,-0.012915865,-0.005484903,-0.0175
22/06/2015,0.012679714,-0.011928287,0.023471213,-0.004290768,-0.0205
23/06/2015,-0.014001061,-0.00448989,0.006319887,-0.001798381,0.0138
24/06/2015,0.013997054,0.008939723,-0.020291304,0,-0.0026
25/06/2015,0.006420524,-0.004390334,-0.020683109,0.00060018,-0.0129
26/06/2015,0.002803924,-0.001898196,-0.001299155,0,-0.0164
29/06/2015,-0.006081433,-0.006379564,0,0.013490182,0.0078
30/06/2015,0.047702844,0.011566379,-0.013211946,0.002402882,0.0003
07/01/2015,0.013794275,0.005716276,0.013388838,-0.004788498,-0.0003
07/02/2015,0.036344896,0.001300845,0,0,0.0154
07/03/2015,0.000300045,0.050325378,-0.011928287,0,-0.0083
07/06/2015,0.010151177,0.049695372,-0.012027089,-0.001798381,-0.0086
07/07/2015,0.007225982,0.007427448,0.012173501,-0.018820638,0.0018
07/08/2015,0.001601281,0,-0.012027089,0.012375956,-0.0126
